,UOK262,UOK262pFH,delta
R_ACACT1r,0.0,-0.36023361678,-0.36023361678
R_ACACT1rm,0.533843331504,0.0,0.533843331504
R_ACACT1x,0.353786813473,0.0,0.353786813473
R_ACACT4p,0.0,0.0,0.0
R_ACACT5p,0.0,0.0,0.0
R_ACACT6p,0.0,0.0,0.0
R_ACACT7p,0.0,0.0,0.0
R_ACACt2,0.0,0.0,0.0
R_ACACt2m,0.0,0.0,0.0
R_ACACtx,-1.07251282966,0.0,1.07251282966
R_ACALDt,0.0,0.0,0.0
R_ACALDtm,1.36106403925e-12,-0.00331587541197,-0.00331587541061
R_ACALDtr,-1.36106403925e-12,0.0,1.36106403925e-12
R_ACCOAC,0.0,0.116372808499,-0.116372808499
R_ACCOACm,0.0780667247009,0.0,0.0780667247009
R_ACCOAL,0.0,0.0,0.0
R_ACCOALm,0.0,0.0,0.0
R_ACCOAtn,0.0,0.0,0.0
R_ACCOAtr,0.0,0.0,0.0
R_ACETONEt2,1.26424521092,0.0,1.26424521092
R_ACETONEt2m,0.0,0.0,0.0
R_ACGAGBSIDEtg,0.0,0.0,0.0
R_ACGAGBSIDEtl,0.0,0.0,0.0
R_ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,0.0,0.0,0.0
R_ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,0.0,0.0,0.0
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,0.0,0.0,0.0
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,0.0,0.0,0.0
R_ACGAM2E,0.0,0.0,0.0
R_ACGAM6PSi,0.0,0.0,0.0
R_ACGAMK,0.0,0.0,0.0
R_ACGAMPM,0.0,0.0,0.0
R_ACGAMtly,0.0,0.0,0.0
R_ACHEe,0.0,0.0,0.0
R_ACHVESSEC,0.0,0.0,0.0
R_ACHtn,0.0,0.0,0.0
R_ACITL,0.0,0.0,0.0
R_ACMPGLUTdt,0.0,0.0,0.0
R_ACMPGLUTtep,0.0,0.0,0.0
R_ACMPGLUTthc,0.0,0.0,0.0
R_ACMPGLUtep,0.0,0.0,0.0
R_ACMPGLUthc,0.0,0.0,0.0
R_ACMPdt,0.0,0.0,0.0
R_ACMPthc,0.0,0.0,0.0
R_ACMPtu,0.0,0.0,0.0
R_ACNAM9PL,0.0,0.0,0.0
R_ACNAMPH,0.0,0.0,0.0
R_ACNAMlt,0.0,0.0,0.0
R_ACNAMtn,0.0,0.0,0.0
R_ACNMLr,0.0,0.0,0.0
R_ACOAD10m,0.0,0.0,0.0
R_ACOAD1fm,0.0,0.0,0.0
R_ACOAD8m,0.0,0.0,0.0
R_ACOAD9m,0.0248257950061,0.0,0.0248257950061
R_ACOAHi,0.0,0.0,0.0
R_ACOAO7p,0.0,0.0,0.0
R_ACOATA,0.0,0.0,0.0
R_ACONT,0.0,0.0208088394208,-0.0208088394208
R_ACONTm,0.976007860381,1.40003908498,-0.424031224598
R_ACOX2x,0.0,0.0,0.0
R_ACP1_FMN,0.0,0.0,0.0
R_ACRNtm,0.0,0.186306248188,-0.186306248188
R_ACS,0.0,0.0,0.0
R_ACS2,0.0,0.0,0.0
R_ACSMCT1,0.0,0.0,0.0
R_ACSm,-1.36106403925e-12,0.00331587541197,-0.00331587541061
R_ACTLMO,0.0,0.0,0.0
R_ACTNMO,1.26424521092,0.0,1.26424521092
R_ACYP,0.0,0.0,0.0
R_ACt2m,0.0,0.0,0.0
R_ACt2r,0.0,0.0,0.0
R_ADA,0.0,0.0,0.0
R_ADAe,0.0,0.0,0.0
R_ADCim,1.26424521092,0.0,1.26424521092
R_ADEt,0.0,0.0,0.0
R_ADK1,0.0,0.0,0.0
R_ADK1m,0.000258222542414,0.0,0.000258222542414
R_ADK3,0.109819981994,0.467499547092,-0.357679565099
R_ADK3m,0.0,0.00370080359683,-0.00370080359683
R_ADKd,0.0,0.0,0.0
R_ADMDC,0.0,0.0,0.0
R_ADNCNT3tc,0.0,0.0,0.0
R_ADNCYC,0.0,0.0,0.0
R_ADNK1,0.0,0.0951156668158,-0.0951156668158
R_ADNK1m,0.000258222543775,0.000384928184858,-0.000126705641083
R_ADNK3,0.102239496324,0.0,0.102239496324
R_ADNK4,0.0,0.0,0.0
R_ADNt,0.0,0.0,0.0
R_ADNt4,0.0,0.0,0.0
R_ADNt5le,0.0,0.0,0.0
R_ADNtm,0.000258222543775,0.000384928184858,-0.000126705641083
R_ADPACDAc,0.0,0.0,0.0
R_ADPACTD,0.0,0.0,0.0
R_ADPCOACROT,0.0,0.0,0.0
R_ADPCOAPTE,0.0,0.0,0.0
R_ADPRDP,0.0,0.0,0.0
R_ADPT,0.0,0.0,0.0
R_ADPtx,0.0,0.0,0.0
R_ADRNCOAtx,0.0,0.0,0.0
R_ADRNCPT1,0.0,0.0,0.0
R_ADRNCPT2,0.0,0.0,0.0
R_ADRNCRNt,0.0,0.0,0.0
R_ADRNLPVESSEC,0.0,0.0,0.0
R_ADRNt,0.0,0.0,0.0
R_ADSK,0.0,0.0,0.0
R_ADSL1,0.00131928029908,0.0019666298822,-0.000647349583121
R_ADSL2,0.00222693520335,0.00331965642152,-0.00109272121817
R_ADSS,0.00131928029908,0.0019666298822,-0.000647349583121
R_AG13T10g,0.0,0.0,0.0
R_AG13T11g,0.0,0.0,0.0
R_AG13T12g,0.0,0.0,0.0
R_AG13T13g,0.0,0.0,0.0
R_AG13T14g,0.0,0.0,0.0
R_AG13T15g,0.0,0.0,0.0
R_AG13T16g,0.0,0.0,0.0
R_AG13T17g,0.0,0.0,0.0
R_AG13T18g,0.0,0.0,0.0
R_AG13T1g,0.0,0.0,0.0
R_AG13T2g,0.0,0.0,0.0
R_AG13T3g,0.0,0.0,0.0
R_AG13T4g,0.0,0.0,0.0
R_AG13T5g,0.0,0.0,0.0
R_AG13T6g,0.0,0.0,0.0
R_AG13T7g,0.0,0.0,0.0
R_AG13T8g,0.0,0.0,0.0
R_AG13T9g,0.0,0.0,0.0
R_AGDC,0.0,0.0,0.0
R_AGMTm,0.0,0.0,0.0
R_AGPAT1,0.00523127984031,0.00779818455808,-0.00256690471777
R_AGTim,0.0,0.0,0.0
R_AGTix,0.0,0.0,0.0
R_AHC,0.102497718868,0.0955005950006,0.00699712386736
R_AHCYStd,0.0,0.0,0.0
R_AHCYSte,0.0,0.0,0.0
R_AHCYStr,0.000402413728176,0.000599871659865,-0.000197457931689
R_AHEXASE2ly,0.0,0.0,0.0
R_AHEXASEly,0.0,0.0,0.0
R_AICART,0.00222693520335,0.00331965642152,-0.00109272121817
R_AICARte,0.0,0.0,0.0
R_AIRCr_PRASCS,0.00222693520335,0.00331965642152,-0.00109272121817
R_AK2LGCHOLt,0.0,0.0,0.0
R_AKGDm,2.14810394635,2.57624004233,-0.428136095975
R_AKGMALtm,0.263148312921,0.0,0.263148312921
R_AKGt4_3,-0.0198185459751,-0.634714332845,-0.61489578687
R_AKR1C1,0.0,0.0,0.0
R_AKR1C41,0.0,0.0,0.0
R_AKR1C42,0.0,0.0,0.0
R_AKR1D,0.0,0.0,0.0
R_AKR1D2,0.0,0.0,0.0
R_ALAASNNaEx,0.0,0.0,0.0
R_ALAATB0tc,0.0,0.0,0.0
R_ALAB0AT3tc,0.0,0.0,0.0
R_ALACYSNaEx,0.0,0.0,0.0
R_ALADGLNexR,0.0,0.0,0.0
R_ALADGLYexR,0.0,0.0,0.0
R_ALAGLNNaEx,0.0,0.0,0.0
R_ALAGLNexR,0.0,0.0,0.0
R_ALAGLYexR,0.0,0.0,0.0
R_ALAPAT4te,0.0,0.0,0.0
R_ALAR,0.0,0.0,0.0
R_ALASERNaEx,0.0,0.0,0.0
R_ALASm,0.0,0.0,0.0
R_ALATA_L,-0.000236114427962,0.0,0.000236114427962
R_ALATHRNaEx,0.0,0.0,0.0
R_ALA__DTDe,0.0,0.0,0.0
R_ALAt2r,0.0,0.0,0.0
R_ALAt4,0.0,0.0,0.0
R_ALAtN1,0.0,0.0,0.0
R_ALAyLATthc,0.0,0.0,0.0
R_ALCD1,0.0,0.0,0.0
R_ALCD21_L,1.26424521092,0.0,1.26424521092
R_ALCD22_L,0.0,0.0,0.0
R_ALDD21,0.0,0.0,0.0
R_ALDD2x,0.0,0.0,0.0
R_ALDD2xm,-1.36106403925e-12,0.00331587541197,-0.00331587541061
R_ALDD2y,0.0,0.0,0.0
R_ALDSTRNte,0.0,0.0,0.0
R_ALDSTRNtm,0.0,0.0,0.0
R_ALLOP1tu,0.0,0.0,0.0
R_ALLOP2tu,0.0,0.0,0.0
R_ALLOPtepvb,0.0,0.0,0.0
R_ALOX5,0.0,0.0,0.0
R_ALOX52,0.0,0.0,0.0
R_ALR2,0.0,0.0,0.0
R_ALR3,1.26424521092,0.0,1.26424521092
R_AM19CSteb,0.0,0.0,0.0
R_AM1ACSteb,0.0,0.0,0.0
R_AM1ACStep,0.0,0.0,0.0
R_AM1ALCSteb,0.0,0.0,0.0
R_AM1ALCStep,0.0,0.0,0.0
R_AM1C9CSteb,0.0,0.0,0.0
R_AM1C9CStev,0.0,0.0,0.0
R_AM1CCSteb,0.0,0.0,0.0
R_AM1CCStev,0.0,0.0,0.0
R_AM1CSAtep,0.0,0.0,0.0
R_AM4N9CStev,0.0,0.0,0.0
R_AM4NC9CSteb,0.0,0.0,0.0
R_AM4NCSteb,0.0,0.0,0.0
R_AM4NCStep,0.0,0.0,0.0
R_AM9CSAteb,0.0,0.0,0.0
R_AM9CSAtep,0.0,0.0,0.0
R_AMACR2p,0.0,0.0,0.0
R_AMACRp,0.0,0.0,0.0
R_AMANK,0.0,0.0,0.0
R_AMCOXO,0.00973753653904,0.00960874994823,0.000128786590807
R_AMETr,-0.000402413728176,-0.000599871659865,-0.000197457931689
R_AMETt2m,0.0,0.0,0.0
R_AMETtd,0.0,0.0,0.0
R_AMPDA,0.0,0.0,0.0
R_AMPTASECG,0.0,0.0,0.0
R_AMPTASECGe,0.0,0.0,0.0
R_AMPtp,0.0,0.0,0.0
R_ANDRSTRNGLCte,0.0,0.0,0.0
R_ANDRSTRNGLCtr,0.0,0.0,0.0
R_ANDRSTRNte,0.0,0.0,0.0
R_ANDRSTRNtr,0.0,0.0,0.0
R_ANTHte,0.0,0.0,0.0
R_AOBUTDsm,0.0,0.0,0.0
R_APAT2rm,0.0,0.0,0.0
R_APOCF,0.0,0.0,0.0
R_APOCFm,0.0,0.0,0.0
R_APOC_LYS_BTNP,0.0,0.0,0.0
R_APOC_LYS_BTNPm,0.0,0.0,0.0
R_APRGSTRNte,0.0,0.0,0.0
R_ARACHCOAtx,0.0,0.0,0.0
R_ARACHCPT1,0.0,0.0,0.0
R_ARACHCPT2,0.0,0.0,0.0
R_ARACHCRNt,0.0,0.0,0.0
R_ARACHDCOAtx,0.0,0.0,0.0
R_ARACHDFATPtc,0.0,0.0,0.0
R_ARACHDt2,0.0,0.0,0.0
R_ARACHDtr,0.0,0.0,0.0
R_ARACHt,0.0,0.0,0.0
R_ARGATB0tc,0.0,0.0,0.0
R_ARGB0AT3tc,0.0,0.0,0.0
R_ARGDCm,0.0,0.0,0.0
R_ARGLYSex,0.0,0.0,0.0
R_ARGN,0.0,0.227766171329,-0.227766171329
R_ARGNm,0.992913526004,0.761670136082,0.231243389923
R_ARGSL,0.0,0.0,0.0
R_ARGSS,0.0,0.0,0.0
R_ARGt4,0.0,0.0,0.0
R_ARGtiDF,1.0,1.0,0.0
R_ARGtm,0.992913526004,0.761670136082,0.231243389923
R_ARSA,0.0,0.0,0.0
R_ARTCOAL3,0.0,0.0,0.0
R_ARTFR12,0.0,0.0,0.0
R_ARTPLM3,-0.0108074744618,-0.0161105280223,-0.00530305356051
R_ARTPLM3m,0.0,0.0,0.0
R_ASAH1,0.0,0.0,0.0
R_ASCBSVCTtc,0.0,0.0,0.0
R_ASCBt,0.0,0.0,0.0
R_ASCBt4,0.0,0.0,0.0
R_ASNALANaEx,0.0,0.0,0.0
R_ASNATB0tc,0.0,0.0,0.0
R_ASNB0AT3tc,0.0,0.0,0.0
R_ASNCYSNaEx,0.0,0.0,0.0
R_ASNGLNNaEx,0.0,0.0,0.0
R_ASNNm,0.0,0.0,0.0
R_ASNPHELAT2tc,0.0,0.0,0.0
R_ASNS1,0.00626120537031,0.0101836336139,-0.00392242824358
R_ASNSERNaEx,0.0,0.0,0.0
R_ASNTHRNaEx,0.0,0.0,0.0
R_ASNt4,0.0,0.0,0.0
R_ASNtN1,0.0,0.0,0.0
R_ASNtm,0.0,0.0,0.0
R_ASP1DC,0.0,0.0,0.0
R_ASPCTr,0.00226869344376,0.00338190475758,-0.00111321131382
R_ASPDTDe,0.0,0.0,0.0
R_ASPDt6,0.0,0.0,0.0
R_ASPGLUm,0.0,0.0,0.0
R_ASPNATm,0.0,0.0,0.0
R_ASPPROASCT1,0.00161539321881,0.0,0.00161539321881
R_ASPTA,0.000337870800942,-0.0311049097574,-0.0307670389564
R_ASPTAm,-0.0177538933394,0.0,0.0177538933394
R_ASPt6,0.0,0.0,0.0
R_ASPte,0.0,0.00188492930626,-0.00188492930626
R_ATP1ter,0.0,0.0,0.0
R_ATP2ter,0.0,0.0,0.0
R_ATPH1e,0.0,0.0,0.0
R_ATPM,46.0346945065,33.1526705385,12.8820239679
R_ATPS4m,45.7756774495,31.6122038893,14.1634735602
R_ATPasel,0.0,0.0,0.0
R_ATPtm,44.4811072349,33.7158960408,10.765211194
R_ATPtn,0.0,0.0,0.0
R_ATPtx,0.0,0.0,0.0
R_ATVACIDMCTtu,0.0,0.0,0.0
R_ATVACIDOATPtu,0.0,0.0,0.0
R_ATVACIDhc,0.0,0.0,0.0
R_ATVACIDhr,0.0,0.0,0.0
R_ATVACIDitr,0.0,0.0,0.0
R_ATVACIDtdu,0.0,0.0,0.0
R_ATVACIDtu,0.0,0.0,0.0
R_ATVACYLGLUChc,0.0,0.0,0.0
R_ATVETHGLUChc,0.0,0.0,0.0
R_ATVLACGLCURhc,0.0,0.0,0.0
R_ATVLACThc,0.0,0.0,0.0
R_ATVLACh2r,0.0,0.0,0.0
R_ATVLAChc,0.0,0.0,0.0
R_ATVLAChr,0.0,0.0,0.0
R_ATVLACitr,0.0,0.0,0.0
R_ATVLACtdhc,0.0,0.0,0.0
R_ATVLACtu,0.0,0.0,0.0
R_AVITE1t,0.0,0.0,0.0
R_A_MANASEly,0.0,0.0,0.0
R_Am19CStev,0.0,0.0,0.0
R_Am1CSAteb,0.0,0.0,0.0
R_Asn_X_Ser_Thrtr,0.0,0.0,0.0
R_B3GALT3g,0.0,0.0,0.0
R_B3GALT41g,0.0,0.0,0.0
R_B3GALT42g,0.0,0.0,0.0
R_B3GALT5g,0.0,0.0,0.0
R_B3GALTg,0.0,0.0,0.0
R_B3GNT11g,0.0,0.0,0.0
R_B3GNT12g,0.0,0.0,0.0
R_B3GNT310g,0.0,0.0,0.0
R_B3GNT311g,0.0,0.0,0.0
R_B3GNT312g,0.0,0.0,0.0
R_B3GNT313g,0.0,0.0,0.0
R_B3GNT314g,0.0,0.0,0.0
R_B3GNT315g,0.0,0.0,0.0
R_B3GNT31g,0.0,0.0,0.0
R_B3GNT32g,0.0,0.0,0.0
R_B3GNT33g,0.0,0.0,0.0
R_B3GNT34g,0.0,0.0,0.0
R_B3GNT35g,0.0,0.0,0.0
R_B3GNT39g,0.0,0.0,0.0
R_B3GNT51g,0.0,0.0,0.0
R_BAAT1x,0.0,0.0,0.0
R_BAAT2x,0.0,0.0,0.0
R_BAAT4x,0.0,0.0,0.0
R_BAAT5x,0.0,0.0,0.0
R_BACCL,0.0,0.0,0.0
R_BACCLm,0.0,0.0,0.0
R_BALABETAtc,0.0,0.0,0.0
R_BALAPAT1tc,0.0,0.0,0.0
R_BALAVECSEC,0.0,0.0,0.0
R_BALAtmr,0.0,0.0,0.0
R_BAMPPALDOX,0.0,0.0,0.0
R_BDHm,0.0,0.0,0.0
R_BDMT_U,0.0,0.0,0.0
R_BETALDHxm,0.00551606839424,0.0,0.00551606839424
R_BETBGTtc,0.0,0.0,0.0
R_BHBt,0.0,0.0,0.0
R_BHBtm,0.0,0.0,0.0
R_BHMT,0.00551606839424,0.0,0.00551606839424
R_BIDGLCURr,0.0,0.0,0.0
R_BILDGLCURt,0.0,0.0,0.0
R_BILDGLCURte,0.0,0.0,0.0
R_BILDGLCURtr,0.0,0.0,0.0
R_BILGLCURt,0.0,0.0,0.0
R_BILGLCURte,0.0,0.0,0.0
R_BILGLCURtr,0.0,0.0,0.0
R_BILIRED,0.0,0.0,0.0
R_BILIRUBt2,0.0,0.0,0.0
R_BILIRUBtr,0.0,0.0,0.0
R_BIOCYTtn,0.0,0.0,0.0
R_BPNT,0.0,0.0,0.0
R_BPNT2,0.0,0.0,0.0
R_BTND1,0.0,0.0,0.0
R_BTND1n,0.0,0.0,0.0
R_BTNDm,0.0,0.0,0.0
R_BTNPL,0.0,0.0,0.0
R_BTNPLm,0.0,0.0,0.0
R_BTNTe,0.0,0.0,0.0
R_BTNt2,0.0,0.0,0.0
R_BTNt3i,0.0,0.0,0.0
R_BTNt4i,0.0,0.0,0.0
R_BTNtn,0.0,0.0,0.0
R_BUP2,0.0,0.0,0.0
R_BUTSMCT1,0.0,0.0,0.0
R_BUTt2r,0.0,0.0,0.0
R_B_MANNASEly,0.0,0.0,0.0
R_C100CPT1,0.0,0.0,0.0
R_C100CPT2,0.0,0.0,0.0
R_C100CRNt,0.0,0.0,0.0
R_C10DCCACT,0.0,0.0,0.0
R_C10DCc,0.0,0.0,0.0
R_C120CPT1,0.0,0.0,0.0
R_C120CPT2,0.0,0.0,0.0
R_C120CRNt,0.0,0.0,0.0
R_C12DCACOT,0.0,0.0,0.0
R_C12DCACT,0.0,0.0,0.0
R_C12DCTD,0.0,0.0,0.0
R_C14STRr,0.000402413728176,0.000599871659865,-0.000197457931689
R_C160CPT1,0.0,0.0,0.0
R_C160CPT2,0.0,0.0,0.0
R_C160CRNt,0.0,0.0,0.0
R_C161CPT1,0.0,0.0,0.0
R_C161CPT12,0.0,0.0,0.0
R_C161CPT2,0.0,0.0,0.0
R_C161CPT22,0.0,0.0,0.0
R_C161CRN2t,0.0,0.0,0.0
R_C161CRNt,0.0,0.0,0.0
R_C16txc,0.0,0.0,0.0
R_C180CPT1,0.0,0.0,0.0
R_C180CPT2,0.0,0.0,0.0
R_C180CRNt,0.0,0.0,0.0
R_C181CPT1,0.0,0.0,0.0
R_C181CPT2,0.0,0.0,0.0
R_C204CPT1,0.0,0.0,0.0
R_C204CPT2,0.0,0.0,0.0
R_C204CRNt,0.0,0.0,0.0
R_C226COAtx,0.0,0.0,0.0
R_C226CPT1,0.0,0.0,0.0
R_C226CPT2,0.0,0.0,0.0
R_C226CRNt,0.0,0.0,0.0
R_C2tcx,0.0,0.0,0.0
R_C30CPT1,0.0,0.0,0.0
R_C3STDH1Pr,0.000402413728176,0.000599871659865,-0.000197457931689
R_C3STDH1r,0.0,0.0,0.0
R_C3STKR2r,0.0,0.0,0.0
R_C40CPT1,0.0,0.0,0.0
R_C4CRNCPT2,0.0,0.0,0.0
R_C4DCCACT,0.0,0.0,0.0
